,time,O,C,H,L,volume,amount,r_1,r_5,r_10,k,rsi,x_1,x_2,y_pred
455,2018-06-06 09:31:00,5735.9969999999985,5729.563,5735.9969999999985,5691.5019999999995,10966.0,12576665360.0,-0.0062474223601346355,-0.032273141948173184,-0.1324387217663895,26.13606592,42.46911346,-1.3476658416332807,-0.5746171595529346,0.0022633914683764327
456,2018-06-07 09:31:00,5736.458000000001,5693.768,5759.8830000000025,5668.943,12532.0,14342519200.0,-0.013327378284468179,-0.02931064279401618,-0.10995144164637556,25.59530737,39.30084971,-1.3733749334655962,-0.7980839345136441,0.002922976386411212
457,2018-06-08 09:31:00,5680.824000000001,5617.885,5685.517,5569.428000000001,14409.0,16239362960.0,-0.0041592165022957895,-0.0375167879014968,-0.11179936933561296,23.29921475,33.3646404,-1.4825372500356844,-1.2167818885578547,0.004158805989036196
458,2018-06-11 09:31:00,5606.783,5594.519,5633.536,5547.2919999999995,16528.0,18568177560.0,0.007644446287518162,-0.09772564897893814,-0.09692861888573444,21.42290321,31.70567701,-1.5717420636958537,-1.3337933584966142,0.004504177245332598
459,2018-06-12 09:31:00,5594.781999999997,5637.286,5655.479,5545.238,18327.0,20637753360.0,-0.016432375437400358,-0.09538863204740723,-0.12027241477547887,22.16706687,38.04845317,-1.5363625549054483,-0.886419072573331,0.003183706532120495
460,2018-06-13 09:31:00,5619.735,5544.651999999999,5627.246,5540.096,18118.0,20360936320.0,-0.003205250753338357,-0.10350604510436344,-0.10471802378219576,18.69665892,31.02671399,-1.7013549284558018,-1.3816825774408965,0.004645527146487558
461,2018-06-14 09:31:00,5522.602,5526.88,5589.6330000000025,5503.941,19843.0,22114934320.0,-0.021668644877399224,-0.0830758040702893,-0.06886145528761252,17.07431201,29.83821464,-1.7784855918416385,-1.4655108625031483,0.00489295485712375
462,2018-06-15 09:31:00,5512.5909999999985,5407.12,5535.339,5318.614000000001,20396.0,22301804720.0,-0.06645478554202602,-0.07717805412123269,-0.06500318099098958,17.57145223,23.12329451,-1.754850230792761,-1.9391335353534904,0.006290900354418961
463,2018-06-19 09:31:00,5366.323,5047.791,5366.323,4949.804,16678.0,17274793720.0,0.010254386522738305,0.0008833566999901211,0.010714191613717693,16.65887365,13.14101184,-1.7982366303557895,-2.643212706480288,0.00836906164913186
464,2018-06-20 09:31:00,4999.697,5099.553,5140.6359999999995,4988.817,15128.0,15390337560.0,-0.025258292246398768,-0.027507705087092937,-0.011662394723615964,16.96334936,18.82036113,-1.7837610497309442,-2.2426318300580856,0.007186706444033949
